#Char	Unicode	Big5
陪	966A	B3AD
陬	966C	B3B5
陰	9670	B3B1
陲	9672	B6AB
陳	9673	B3AF
陴	9674	B3B2
陵	9675	B3AE
陶	9676	B3B3
陷	9677	B3B4
陸	9678	B3B0
陽	967D	B6A7
隄	9684	B6AC
隅	9685	B6A8
隆	9686	B6A9
隊	968A	B6A4
隋	968B	B6A6
隍	968D	B6AA
階	968E	B6A5
隔	9694	B96A
隕	9695	B96B
隘	9698	B969
隙	9699	BBD8
際	969B	BBDA
障	969C	BBD9
隧	96A7	C047
隨	96A8	C048
險	96AA	C049
隱	96B1	C1F4
隴	96B4	C3F7
隸	96B8	C1F5
隹	96B9	AB41
隻	96BB	B0A6
雀	96C0	B3B6
雁	96C1	B6AD
雄	96C4	B6AF
雅	96C5	B6AE
集	96C6	B6B0
雇	96C7	B6B1
雉	96C9	B96E
雊	96CA	B96F
雋	96CB	B96D
雌	96CC	BBDB
雍	96CD	B96C
雒	96D2	BBDC
雕	96D5	C04A
雖	96D6	C1F6
雙	96D9	C2F9
雛	96DB	C2FA
雜	96DC	C2F8
雞	96DE	C2FB
離	96E2	C2F7
難	96E3	C3F8
雨	96E8	AB42
雩	96E9	B3B8
雪	96EA	B3B7
雯	96EF	B6B2
雲	96F2	B6B3
零	96F6	B973
雷	96F7	B970
雹	96F9	B972
電	96FB	B971
需	9700	BBDD
霄	9704	BE5D
霆	9706	BE5E
震	9707	BE5F
霉	9709	BE60
霍	970D	C04E
霎	970E	C04B
霏	970F	C050
霑	9711	C04C
霓	9713	C04F
霖	9716	C04D
霜	971C	C1F7
霞	971E	C1F8
霤	9724	C2FC
霧	9727	C3FA
霪	972A	C3F9
霰	9730	C4C5
露	9732	C553
霸	9738	C551
霹	9739	C552
霽	973D	C5B4
霾	973E	C5B5
靂	9742	C645
靄	9744	C647
靈	9748	C646
青	9752	AB43
靖	9756	B974
靛	975B	C051
靜	975C	C052
非	975E	AB44
靠	9760	BE61
靡	9761	C3FB
面	9762	ADB1
靦	9766	C053
靨	9768	C5E2
革	9769	ADB2
靴	9774	B975
靶	9776	B976
靼	977C	BBDE
鞅	9785	BBDF
鞋	978B	BE63
鞍	978D	BE62
鞏	978F	BE64
鞘	9798	C054
鞠	97A0	C1F9
鞣	97A3	C2FD
鞦	97A6	C2FE
鞭	97AD	C340
韁	97C1	C5B7
韃	97C3	C5B6
韆	97C6	C648
韉	97C9	C669
韋	97CB	ADB3
韌	97CC	B6B4
韓	97D3	C1FA
韜	97DC	C3FC
韭	97ED	ADB4
音	97F3	ADB5
韶	97F6	BBE0
韹	97F9	C341
韻	97FB	C3FD
響	97FF	C554
頁	9801	ADB6
頂	9802	B3BB
頃	9803	B3BC
項	9805	B6B5
順	9806	B6B6
須	9808	B6B7
頊	980A	B97A
頌	980C	B97C
預	9810	B977
頑	9811	B978
頒	9812	B97B
頓	9813	B979
頗	9817	BBE1
領	9818	BBE2
頜	981C	BE67
頡	9821	BE65
頤	9824	C05B
頫	982B	BE66
頭	982D	C059
頰	9830	C055
頷	9837	C058
頸	9838	C056
頹	9839	C05A
頻	983B	C057
顆	9846	C1FB
題	984C	C344
額	984D	C342
顎	984E	C345
顏	984F	C343
顓	9853	C346
願	9858	C440
顛	985B	C441
類	985E	C3FE
顥	9865	C556
顧	9867	C555
顫	986B	C5B8
顯	986F	C5E3
顰	9870	C649
顱	9871	C660
風	98A8	ADB7
颯	98AF	BBE3
颱	98B1	BBE4
颳	98B3	BE68
颶	98B6	C1FC
颺	98BA	C347
颼	98BC	C442
飄	98C4	C4C6
飛	98DB	ADB8
食	98DF	ADB9
飢	98E2	B0A7
飧	98E7	B6B8
飩	98E9	B6BB
飪	98EA	B6B9
飭	98ED	B6BD
飯	98EF	B6BA
飲	98F2	B6BC
飴	98F4	B97E
飼	98FC	B97D
飽	98FD	B9A1
飾	98FE	B9A2
餃	9903	BBE5
餅	9905	BBE6
餉	9909	BBE8
養	990A	BE69
餌	990C	BBE7
餐	9910	C05C
餒	9912	BE6B
餓	9913	BE6A
餘	9918	BE6C
餚	991A	C061
餛	991B	C05F
餞	991E	C05E
餡	9921	C060
館	9928	C05D
餮	992E	C34B
餵	9935	C1FD
餽	993D	C34A
餾	993E	C348
餿	993F	C349
饅	9945	C443
饉	9949	C444
饑	9951	C4C8
饒	9952	C4C7
饕	9955	C5B9
饗	9957	C557
饜	995C	C5E4
饞	995E	C661
首	9996	ADBA
香	9999	ADBB
馥	99A5	C34C
馨	99A8	C4C9
馬	99AC	B0A8
馭	99AD	B6BF
馮	99AE	B6BE
馱	99B1	B9A4
馳	99B3	B9A3
馴	99B4	B9A5
駁	99C1	BBE9
駐	99D0	BE6E
駑	99D1	BE71
駒	99D2	BE73
駕	99D5	BE72
駙	99D9	BE74
駛	99DB	BE70
駝	99DD	BE6D
駟	99DF	BE6F
駢	99E2	C063
駭	99ED	C062
駱	99F1	C064
駿	99FF	C240
騁	9A01	C1FE
騎	9A0E	C34D
騖	9A16	C445
騙	9A19	C446
騫	9A2B	C4CA
騰	9A30	C4CB
騵	9A35	C4CD
騷	9A37	C4CC
騾	9A3E	C55B
驀	9A40	C55A
驃	9A43	C559
驅	9A45	C558
驍	9A4D	C5BB
驕	9A55	C5BA
驗	9A57	C5E7
驚	9A5A	C5E5
驛	9A5B	C5E6
驟	9A5F	C64A
驢	9A62	C66A
驥	9A65	C66B
驪	9A6A	C67A
骨	9AA8	B0A9
骯	9AAF	BBEA
骰	9AB0	BBEB
骷	9AB7	BE75
骸	9AB8	C065
骼	9ABC	C066
髁	9AC1	C34E
髏	9ACF	C55C
髑	9AD1	C5EA
髒	9AD2	C5BC
髓	9AD3	C5E8
體	9AD4	C5E9
髖	9AD6	C662
高	9AD8	B0AA
髡	9AE1	B9A6
髦	9AE6	BBEC
髭	9AED	C068
髮	9AEE	BE76
髯	9AEF	BE77
髻	9AFB	C067
鬃	9B03	C34F
鬆	9B06	C350
鬍	9B0D	C447
鬚	9B1A	C5BD
鬢	9B22	C64B
鬣	9B23	C663
鬥	9B25	B0AB
鬧	9B27	BE78
鬨	9B28	C069
鬱	9B31	C67B
鬲	9B32	B0AC
鬼	9B3C	B0AD
魁	9B41	BBED
魂	9B42	BBEE
魄	9B44	BE7A
魅	9B45	BE79
魍	9B4D	C353
魎	9B4E	C352
魏	9B4F	C351
魑	9B51	C55E
魔	9B54	C55D
魘	9B58	C64C
魚	9B5A	B3BD
魯	9B6F	BE7C
魷	9B77	BE7B
鮑	9B91	C06A
鮪	9BAA	C243
鮫	9BAB	C242
鮭	9BAD	C244
鮮	9BAE	C241
鯀	9BC0	C358
鯈	9BC8	C357
鯉	9BC9	C355
鯊	9BCA	C354
鯖	9BD6	C44A
鯛	9BDB	C44B
鯧	9BE7	C449
鯨	9BE8	C448
鯽	9BFD	C356
鰍	9C0D	C4CF
鰓	9C13	C4CE
鰥	9C25	C560
鰭	9C2D	C55F
鰱	9C31	C5BF
鰻	9C3B	C5C1
鰾	9C3E	C5C0
鱉	9C49	C5BE
鱔	9C54	C5EB
鱖	9C56	C5ED
鱗	9C57	C5EC
鱟	9C5F	C64D
鱷	9C77	C673
鱸	9C78	C674
鳥	9CE5	B3BE
鳩	9CE9	B9A7
鳳	9CF3	BBF1
鳴	9CF4	BBEF
鳶	9CF6	BBF0
鴃	9D03	BEA1
鴆	9D06	BE7D
鴉	9D09	BE7E
鴒	9D12	C06F
鴕	9D15	C06B
鴛	9D1B	C070
鴣	9D23	C06C
鴦	9D26	C06D
鴨	9D28	C06E
鴻	9D3B	C245
鴿	9D3F	C246
鵑	9D51	C359
鵝	9D5D	C35A
鵠	9D60	C35B
鵡	9D61	C44D
鵪	9D6A	C44F
鵬	9D6C	C450
鵲	9D72	C44E
鶉	9D89	C44C
鶯	9DAF	C561
鶴	9DB4	C562
鶸	9DB8	C564
鷂	9DC2	C563
鷓	9DD3	C5C2
鷗	9DD7	C5C3
鷥	9DE5	C5EE
鷹	9DF9	C64E
鷺	9DFA	C64F
鸚	9E1A	C678
鸛	9E1B	C67C
鸞	9E1E	C67D
鹵	9E75	B3BF
鹹	9E79	C4D0
鹼	9E7C	C650
鹽	9E7D	C651
鹿	9E7F	B3C0
麂	9E82	B9A8
麋	9E8B	C247
麒	9E92	C451
麓	9E93	C453
麗	9E97	C452
麝	9E9D	C565
麟	9E9F	C5EF
麥	9EA5	B3C1
麩	9EA9	BEA2
麴	9EB4	C454
麵	9EB5	C4D1
麻	9EBB	B3C2
麼	9EBC	BBF2
麾	9EBE	BEA3
黃	9EC3	B6C0
黌	9ECC	C664
黍	9ECD	B6C1
黎	9ECE	BEA4
黏	9ECF	C248
黑	9ED1	B6C2
黔	9ED4	C072
默	9ED8	C071
黛	9EDB	C24C
黜	9EDC	C24A
黝	9EDD	C24B
點	9EDE	C249
黠	9EE0	C35C
黨	9EE8	C4D2
黯	9EEF	C566
黴	9EF4	C5F0
黷	9EF7	C675
鼇	9F07	C652
鼎	9F0E	B9A9
鼓	9F13	B9AA
鼕	9F15	C35D
鼙	9F19	C567
鼠	9F20	B9AB
鼬	9F2C	C35E
鼯	9F2F	C4D3
鼴	9F34	C5C4
鼻	9F3B	BBF3
鼾	9F3E	C24D
齊	9F4A	BBF4
齋	9F4B	C24E
齒	9F52	BEA6
齜	9F5C	C568
齟	9F5F	C4D4
齡	9F61	C4D6
齣	9F63	C4D5
齦	9F66	C569
齧	9F67	C56A
齪	9F6A	C5C6
齬	9F6C	C5C5
齲	9F72	C654
齷	9F77	C653
龍	9F8D	C073
龐	9F90	C365
龔	9F94	C5C7
龜	9F9C	C074
